race_id,Race,Total,For Dems,Against Dems,For Repubs,Against Repubs,state_abbr,district,has_dark_money_data
DC00,District of Columbia District,7337.0,7337.0,0.0,0.0,0.0,DC,00,True
AZ03,Arizona District 3,7180.0,7180.0,0.0,0.0,0.0,AZ,03,True
AZ06,Arizona District 6,7180.0,7180.0,0.0,0.0,0.0,AZ,06,True
CA37,California District 37,7075.0,7075.0,0.0,0.0,0.0,CA,37,True
OR06,Oregon District 6,6856.0,6856.0,0.0,0.0,0.0,OR,06,True
PA04,Pennsylvania District 4,6785.0,6785.0,0.0,0.0,0.0,PA,04,True
OH01,Ohio District 1,6650.0,6650.0,0.0,0.0,0.0,OH,01,True
PA03,Pennsylvania District 3,6588.0,6588.0,0.0,0.0,0.0,PA,03,True
TX25,Texas District 25,6560.0,0.0,0.0,6560.0,0.0,TX,25,True
NC14,North Carolina District 14,6370.0,0.0,0.0,6370.0,0.0,NC,14,True
TX33,Texas District 33,5978.0,5978.0,0.0,0.0,0.0,TX,33,True
TX37,Texas District 37,5978.0,5978.0,0.0,0.0,0.0,TX,37,True
TX02,Texas District 2,5872.0,0.0,0.0,5872.0,0.0,TX,02,True
GA11,Georgia District 11,5551.0,0.0,0.0,5551.0,0.0,GA,11,True
OR02,Oregon District 2,3646.0,0.0,0.0,3646.0,0.0,OR,02,True
MN01,Minnesota District 1,1965.0,1965.0,0.0,0.0,0.0,MN,01,True
MN08,Minnesota District 8,1965.0,1965.0,0.0,0.0,0.0,MN,08,True
MN03,Minnesota District 3,1965.0,1965.0,0.0,0.0,0.0,MN,03,True
MN04,Minnesota District 4,1965.0,1965.0,0.0,0.0,0.0,MN,04,True
MN05,Minnesota District 5,1965.0,1965.0,0.0,0.0,0.0,MN,05,True
MN06,Minnesota District 6,1965.0,1965.0,0.0,0.0,0.0,MN,06,True
NV03,Nevada District 3,1549.0,0.0,1549.0,0.0,0.0,NV,03,True
NM01,New Mexico District 1,1319.0,1319.0,0.0,0.0,0.0,NM,01,True
